 Address, Адрес
1 year ago,преди 1 година
1{0},1{0}
2 Yearly,На всеки 2 години
2 hours ago,преди 2 часа
2 months ago,преди 2 месеца
2 weeks ago,преди 2 седмици
2 years ago,преди 2 години
3 Yearly,На всеки 3 години
3 minutes ago,преди 3 минути
30 - 60 Days,30 - 60 дни
30 mins,30 мин.
30 minutes,30 минути
30-60,30-60
30-60 Days,30-60 дни
4 hours,4 часа
5 Records,5 записа
5 days ago,преди 5 дни
6 hrs,6 ч.
60 - 90 Days,60 - 90 дни
60-90,60-90
60-90 Days,60-90 дни
90 - 120 Days,90 - 120 дни
90 Above,Над 90
; not allowed in condition,; не е разрешено в условие
<0,<0
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">|||  Click here to learn about token-based authentication|||</a>","  Click here to learn about token-based authentication|||</a>|||<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">|||  Натиснете тук, за да научите повече за удостоверяване с токен|||</a>"
<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However,<b>Не може да се създаде актив.</b><br><br>Опитвате се да създадете <b>{0} актив(а)</b> от {2} {3}.<br>Но
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>От час</b> не може да бъде по-късно от <b>До час</b> за {0}
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>Ред #{0}:</b> Пакет {1} в склад {2} има недостатъчно опаковани артикули:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>
<b>{0}</b> is not a valid URL,<b>{0}</b> не е валиден URL адрес
"<br>|||<h4>Note</h4>|||<ul>|||<li>|||You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.|||</li><li>|||    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.|||</li></ul>|||<h4> Examples</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Body</b>: <br><br>|||<pre><code>Hello {{ customer.customer_name }}","<br>|||<h4>Забележка</h4>|||<ul>|||<li>|||Можете да използвате <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja тагове</a> в полетата <b>Тема</b> и <b>Съдържание</b> за динамични стойности.|||</li><li>|||    Всички полета в този тип документ са достъпни чрез обекта <b>doc</b>, а всички полета за клиента, до когото ще бъде изпратен имейлът, са достъпни чрез обекта <b>customer</b>.|||</li></ul>|||<h4> Примери</h4>|||<!-- {% raw %} -->|||<ul>|||    <li><b>Тема</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>|||    <li><b>Съдържание</b>: <br><br>|||<pre><code>Hello {{ customer.customer_name }}"
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Моля, не редактирайте — може да повреди формата. Използвайте „Персонализиране на формуляр"" и „Потребителски полета"" за настройка на свойства!</div>"
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Други подробности</div>"
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Не са намерени съвпадащи банкови транзакции</div>"
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>"
"<div class=""well"">|||    Edit list of Series in the box. Rules:|||    <ul>|||        <li>Each Series Prefix on a new line.</li>|||        <li>Allowed special characters are ""/"" and ""-""</li>|||        <li>|||            Optionally","<div class=""well"">|||    Редактирайте списъка с поредици в полето. Правила:|||    <ul>|||        <li>Всеки префикс на поредица на нов ред.</li>|||        <li>Разрешените специални символи са ""/"" и ""-""</li>|||        <li>|||            По избор"
<div>,<h3> All dimensions in centimeter only </h3>|||</div>|||<div>|||<h3> Всички размери само в сантиметри </h3>|||</div>
<div>|||<h3> All dimensions in centimeter only </h3>|||</div>,<div>|||<h3> Всички размери само в сантиметри </h3>|||</div>
<h3>About Product Bundle</h3>||||||<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>|||<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>|||<h4>Example:</h4>|||<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both,"<h3>Относно продуктов пакет</h3>||||||<p>Групиране на <b>артикули</b> в друг <b>артикул</b>. Това е полезно, ако обединявате определени <b>артикули</b> в пакет и поддържате наличност на пакетираните <b>артикули</b>, а не на обобщения <b>артикул</b>.</p>|||<p>Пакетният <b>артикул</b> ще има <code>Складов артикул</code> като <b>Не</b> и <code>Артикул за продажба</code> като <b>Да</b>.</p>|||<h4>Пример:</h4>|||<p>Ако продавате лаптопи и раници поотделно и имате специална цена, ако клиентът купи и двете"
<h3>Currency Exchange Settings Help</h3>|||<p>There are 3 variables that could be used within the endpoint,"<h3>Помощ за настройки на валутен курс</h3>|||<p>Има 3 променливи, които могат да се използват в крайната точка"
"<h3>Custom CSS Help</h3>||||||<p>Notes:</p>||||||<ol>|||<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>|||<li>All values are given class <code>value</code></li>|||<li>All Section Breaks are given class <code>section-break</code></li>|||<li>All Column Breaks are given class <code>column-break</code></li>|||</ol>||||||<h4>Examples</h4>||||||<p>1. Left align integers</p>||||||<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>||||||<p>1. Add border to sections except the last section</p>||||||<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }|||.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>|||","<h3>Помощ за потребителски CSS</h3>||||||<p>Забележки:</p>||||||<ol>|||<li>Всички групи полета (етикет + стойност) имат атрибути <code>data-fieldtype</code> и <code>data-fieldname</code></li>|||<li>Всички стойности имат клас <code>value</code></li>|||<li>Всички разделители на секции имат клас <code>section-break</code></li>|||<li>Всички разделители на колони имат клас <code>column-break</code></li>|||</ol>||||||<h4>Примери</h4>||||||<p>1. Подравняване на цели числа вляво</p>||||||<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>||||||<p>1. Добавяне на граница към секциите, освен последната</p>||||||<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }|||.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>|||"
<h3>Print Format Help</h3>|||<hr>|||<h4>Introduction</h4>|||<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>|||<p>For styling,"<h3>Помощ за формат за печат</h3>|||<hr>|||<h4>Въведение</h4>|||<p>Форматите за печат се генерират от сървъра, използвайки шаблонния език Jinja. Всички формуляри имат достъп до обекта <code>doc</code>, който съдържа информация за документа, който се форматира. Можете също да достъпите общи помощни функции чрез модула <code>frappe</code>.</p>|||<p>За стилизиране"
"<h4>Body Text and Closing Text Example</h4>||||||<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency""","<h4>Пример за основен текст и заключителен текст</h4>||||||<div>Забелязахме, че все още не сте платили фактура {{sales_invoice}} за {{frappe.db.get_value(""Currency"""
<h4>Contract Template Example</h4>||||||<pre>Contract for Customer {{ party_name }}||||||-Valid From : {{ start_date }} |||-Valid To : {{ end_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,"<h4>Пример за шаблон на договор</h4>||||||<pre>Договор за клиент {{ party_name }}||||||-Валиден от : {{ start_date }} |||-Валиден до : {{ end_date }}|||</pre>||||||<h4>Как да получите имената на полетата</h4>||||||<p>Имената на полетата, които можете да използвате във вашия шаблон за договор, са полетата в договора, за който създавате шаблона. Можете да разберете полетата на всеки документ чрез Настройка &gt; Персонализиране на изглед на формуляр и избиране на типа документ (напр. Договор)</p>||||||<h4>Шаблониране</h4>||||||<p>Шаблоните се компилират с помощта на шаблонния език Jinja. За да научите повече за Jinja"
"<h4>Default Template</h4>|||<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>|||<pre><code>{{ address_line1 }}&lt;br&gt;|||{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}|||{{ city }}&lt;br&gt;|||{% if state %}{{ state }}&lt;br&gt;{% endif -%}|||{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}|||{{ country }}&lt;br&gt;|||{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}|||{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}|||{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}|||</code></pre>","<h4>Шаблон по подразбиране</h4>|||<p>Използва <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja шаблониране</a> и всички полета на адреса (включително потребителски полета, ако има такива) ще бъдат достъпни</p>|||<pre><code>{{ address_line1 }}&lt;br&gt;|||{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}|||{{ city }}&lt;br&gt;|||{% if state %}{{ state }}&lt;br&gt;{% endif -%}|||{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}|||{{ country }}&lt;br&gt;|||{% if phone %}Телефон: {{ phone }}&lt;br&gt;{% endif -%}|||{% if fax %}Факс: {{ fax }}&lt;br&gt;{% endif -%}|||{% if email_id %}Имейл: {{ email_id }}&lt;br&gt;{% endif -%}|||</code></pre>"
<h4>Email Reply Example</h4>||||||<pre>Order Overdue||||||Transaction {{ name }} has exceeded Due Date. Please take necessary action.||||||Details||||||- Customer: {{ customer }}|||- Amount: {{ grand_total }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,"<h4>Пример за имейл отговор</h4>||||||<pre>Просрочена поръчка||||||Транзакция {{ name }} е надвишила крайния срок. Моля, предприемете необходимите действия.||||||Детайли||||||- Клиент: {{ customer }}|||- Сума: {{ grand_total }}|||</pre>||||||<h4>Как да получите имената на полетата</h4>||||||<p>Имената на полетата, които можете да използвате в имейл шаблона, са полетата в документа, от който изпращате имейла. Можете да разберете полетата на всеки документ чрез Настройка &gt; Персонализиране на изглед на формуляр и избиране на типа документ (напр. Фактура за продажба)</p>||||||<h4>Шаблониране</h4>||||||<p>Шаблоните се компилират с помощта на шаблонния език Jinja. За да научите повече за Jinja"
<h4>Standard Terms and Conditions Example</h4>||||||<pre>Delivery Terms for Order number {{ name }}||||||-Order Date : {{ transaction_date }} |||-Expected Delivery Date : {{ delivery_date }}|||</pre>||||||<h4>How to get fieldnames</h4>||||||<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>||||||<h4>Templating</h4>||||||<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja,"<h4>Пример за стандартни условия</h4>||||||<pre>Условия за доставка за поръчка номер {{ name }}||||||-Дата на поръчка : {{ transaction_date }} |||-Очаквана дата на доставка : {{ delivery_date }}|||</pre>||||||<h4>Как да получите имената на полетата</h4>||||||<p>Имената на полетата, които можете да използвате в имейл шаблона, са полетата в документа, от който изпращате имейла. Можете да разберете полетата на всеки документ чрез Настройка &gt; Персонализиране на изглед на формуляр и избиране на типа документ (напр. Фактура за продажба)</p>||||||<h4>Шаблониране</h4>||||||<p>Шаблоните се компилират с помощта на шаблонния език Jinja. За да научите повече за Jinja"
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Или</h5>"
<h5>Message Example</h5>||||||<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;||||||&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;||||||&lt;!-- show last comment --&gt;|||{% if comments %}|||Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}|||{% endif %}||||||&lt;h4&gt;Details&lt;/h4&gt;||||||&lt;ul&gt;|||&lt;li&gt;Customer: {{ doc.customer }}|||&lt;li&gt;Amount: {{ doc.grand_total }}|||&lt;/ul&gt;|||</pre>,"<h5>Пример за съобщение</h5>||||||<pre>&lt;h3&gt;Просрочена поръчка&lt;/h3&gt;||||||&lt;p&gt;Транзакция {{ doc.name }} е надвишила крайния срок. Моля, предприемете необходимите действия.&lt;/p&gt;||||||&lt;!-- показване на последния коментар --&gt;|||{% if comments %}|||Последен коментар: {{ comments[-1].comment }} от {{ comments[-1].by }}|||{% endif %}||||||&lt;h4&gt;Детайли&lt;/h4&gt;||||||&lt;ul&gt;|||&lt;li&gt;Клиент: {{ doc.customer }}|||&lt;li&gt;Сума: {{ doc.grand_total }}|||&lt;/ul&gt;|||</pre>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Настройки за номер на сметка</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Сума с думи</label>"
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Настройки за дата</label>"
<li>Clearance date must be after cheque date for row(s): {0}</li>,<li>Датата на осребряване трябва да бъде след датата на чека за ред(ове): {0}</li>
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>Артикул {0} в ред(ове) {1} е фактуриран повече от {2}</li>
<li>Packed Item {0}: Required {1},<li>Опакован артикул {0}: Необходимо {1}
<li>Payment document required for row(s): {0}</li>,<li>Платежен документ е необходим за ред(ове): {0}</li>
<li>{}</li>,<li>{}</li>
"<p><strong>Condition Examples:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||","<p><strong>Примери за условия:</strong></p>|||<pre><code class=""language-python"">doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</code></pre>|||"
"<p><strong>Condition Examples:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>","<p><strong>Примери за условия:</strong></p>|||<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000|||</pre>"
<p>Cannot overbill for the following Items:</p>,<p>Не може да се надфактурира за следните артикули:</p>
<p>Following {0}s doesn't belong to Company {1} :</p>,<p>Следните {0} не принадлежат на компания {1}:</p>
<p>In your <b>Email Template</b>,<p>Във вашия <b>имейл шаблон</b>
<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>|||<p>If you create a separate webform every year to capture feedback from employees add a ||| field named year in doctype and add a filter <b>year = 2023</b></p>|||,"<p>If you create a separate webform every year to capture feedback from employees add a ||| field named year in doctype and add a filter <b>year = 2023</b></p>||||||<p>Могат да се създават множество уеб формуляри за един тип документ. Добавете филтри, специфични за този уеб формуляр, за да се показва правилният запис след изпращане.</p><p>Например:</p>|||<p>Ако създавате отделен уеб формуляр всяка година за обратна връзка от служители, добавете ||| поле с име „year"" в типа документ и добавете филтър <b>year = 2023</b></p>|||"
<p>Please correct the following row(s):</p><ul>,"<p>Моля, коригирайте следните ред(ове):</p><ul>"
<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>Дата на осчетоводяване {0} не може да бъде преди датата на поръчката за покупка за следните:</p><ul>
<p>Price List Rate has not been set as editable in Selling Settings. In this scenario,<p>Цената от ценовата листа не е зададена като редактируема в Настройки за продажби. В този случай
"<p>Set context before rendering a template. Example:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Project""","<p>Задайте контекст преди генериране на шаблон. Пример:</p><p>|||</p><div><pre><code>|||context.project = frappe.get_doc(""Project"""
<p>To allow over-billing,<p>За да разрешите надфактуриране
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>","let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>|||<p>За да взаимодействате с горния HTML, трябва да използвате `root_element` като родителски селектор.</p><p>Например:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// тук root_element е предоставен по подразбиране|||let some_class_element = root_element.querySelector('.some-class');|||some_class_element.textContent = ""New content"";|||</code></pre>"
<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it,"<p>Вашият OTP код на {0} е нулиран. Ако не сте извършили това нулиране и не сте го заявявали, моля свържете се незабавно със системния администратор.</p>"
<pre>*  *  *  *  *|||┬  ┬  ┬  ┬  ┬|||│  │  │  │  │|||│  │  │  │  └ day of week (0 - 6) (0 is Sunday)|||│  │  │  └───── month (1 - 12)|||│  │  └────────── day of month (1 - 31)|||│  └─────────────── hour (0 - 23)|||└──────────────────── minute (0 - 59)||||||---||||||* - Any value|||/ - Step values|||</pre>|||,<pre>*  *  *  *  *|||┬  ┬  ┬  ┬  ┬|||│  │  │  │  │|||│  │  │  │  └ ден от седмицата (0 - 6) (0 е неделя)|||│  │  │  └───── месец (1 - 12)|||│  │  └────────── ден от месеца (1 - 31)|||│  └─────────────── час (0 - 23)|||└──────────────────── минута (0 - 59)||||||---||||||* - Произволна стойност|||/ - Стъпкови стойности|||</pre>|||
<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>Conditions should be written in simple Python. Please use properties available in the form only.</p>|||<p>Allowed functions:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_datetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(),"<pre><code>doc.grand_total &gt; 0</code></pre>||||||<p>Условията трябва да бъдат написани на прост Python. Моля, използвайте само свойства, налични във формуляра.</p>|||<p>Разрешени функции:|||</p><ul>|||<li>frappe.db.get_value</li>|||<li>frappe.db.get_list</li>|||<li>frappe.session</li>|||<li>frappe.utils.now_datetime</li>|||<li>frappe.utils.get_datetime</li>|||<li>frappe.utils.add_to_date</li>|||<li>frappe.utils.now</li>|||</ul>|||<p>Пример: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime()"
